timestamp,device_id,device_name,fault_type,severity,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,load_percent,ambient_temp,oil_temp,hotspot_temp,device_age,current_dp,aging_rate,remaining_life_years
2025-05-18T13:19:16.579552,T001,1号主变,normal,0,65.7,21.4,18.0,44.5,0.9,227.3,4279.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-19T13:19:16.579552,T001,1号主变,normal,0,95.5,32.4,8.6,21.7,0.8,278.3,4462.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-20T13:19:16.579552,T001,1号主变,normal,0,99.6,21.0,5.8,39.7,1.9,230.2,2357.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-21T13:19:16.579552,T001,1号主变,normal,0,80.0,23.1,6.7,16.7,2.6,262.4,3593.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-22T13:19:16.579552,T001,1号主变,normal,0,98.4,32.1,13.1,49.4,0.8,510.3,2580.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-23T13:19:16.579552,T001,1号主变,normal,0,96.7,27.0,20.2,24.1,2.4,294.9,2619.7,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-24T13:19:16.579552,T001,1号主变,normal,0,114.5,20.2,5.6,47.7,0.0,272.4,1970.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-25T13:19:16.579552,T001,1号主变,normal,0,79.8,20.4,22.9,23.9,1.2,464.6,4586.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-26T13:19:16.579552,T001,1号主变,normal,0,73.3,33.7,24.7,22.2,1.8,362.7,1872.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-27T13:19:16.579552,T001,1号主变,normal,0,82.0,12.5,23.9,18.0,1.4,311.0,4957.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-28T13:19:16.579552,T001,1号主变,normal,0,101.8,38.5,6.8,12.8,0.6,474.4,2492.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-29T13:19:16.579552,T001,1号主变,normal,0,71.1,24.4,5.8,41.0,2.9,389.2,3045.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-30T13:19:16.579552,T001,1号主变,normal,0,57.6,24.4,19.7,48.8,0.6,376.2,2390.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-05-31T13:19:16.579552,T001,1号主变,normal,0,61.8,9.3,24.5,33.0,0.3,232.8,5268.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-01T13:19:16.579552,T001,1号主变,normal,0,85.5,30.5,22.9,21.2,2.5,436.2,2676.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-02T13:19:16.579552,T001,1号主变,normal,0,69.6,36.9,15.3,35.5,0.5,400.9,4866.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-03T13:19:16.579552,T001,1号主变,normal,0,81.2,14.1,11.3,10.3,1.1,220.3,4101.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-04T13:19:16.579552,T001,1号主变,normal,0,103.7,25.6,18.1,32.8,1.0,234.2,2347.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-05T13:19:16.579552,T001,1号主变,normal,0,63.5,16.0,7.6,44.8,1.6,269.4,3490.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-06T13:19:16.579552,T001,1号主变,normal,0,108.4,26.7,7.4,12.6,2.8,323.7,4261.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-07T13:19:16.579552,T001,1号主变,normal,0,48.3,20.8,26.7,39.3,0.6,281.5,2663.1,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-08T13:19:16.579552,T001,1号主变,normal,0,72.8,28.3,17.0,42.3,0.5,280.7,4938.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-09T13:19:16.579552,T001,1号主变,normal,0,71.9,38.4,15.0,28.5,1.8,278.2,4543.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-10T13:19:16.579552,T001,1号主变,normal,0,116.1,22.9,30.1,33.7,0.9,285.5,2198.1,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-11T13:19:16.579552,T001,1号主变,normal,0,93.9,26.9,26.2,11.2,0.4,354.6,4071.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-12T13:19:16.579552,T001,1号主变,normal,0,84.5,33.5,23.2,44.7,1.9,363.5,4256.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-13T13:19:16.579552,T001,1号主变,normal,0,50.6,32.1,25.0,48.0,0.7,343.5,4230.4,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-14T13:19:16.579552,T001,1号主变,normal,0,64.8,24.4,16.6,12.6,1.2,378.9,2554.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-15T13:19:16.579552,T001,1号主变,normal,0,71.9,12.7,6.1,13.4,2.1,243.3,3569.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-16T13:19:16.579552,T001,1号主变,normal,0,65.2,30.4,7.2,24.9,0.3,317.1,3017.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-17T13:19:16.579552,T001,1号主变,normal,0,97.0,21.8,25.7,30.0,0.7,258.1,2365.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-18T13:19:16.579552,T001,1号主变,normal,0,126.4,38.4,5.6,14.3,0.1,340.0,3397.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-19T13:19:16.579552,T001,1号主变,normal,0,102.8,31.9,15.6,29.6,0.2,390.3,3697.1,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-20T13:19:16.579552,T001,1号主变,normal,0,73.7,36.7,24.0,46.0,0.7,453.5,3162.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-21T13:19:16.579552,T001,1号主变,normal,0,52.8,39.5,20.7,45.1,1.5,213.1,2944.9,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-22T13:19:16.579552,T001,1号主变,normal,0,63.2,17.3,32.9,52.1,0.7,294.8,4207.0,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-23T13:19:16.579552,T001,1号主变,normal,0,95.2,15.9,9.6,44.8,1.5,243.6,4719.4,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-24T13:19:16.579552,T001,1号主变,normal,0,106.0,36.8,29.2,36.7,0.4,375.7,2725.7,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-25T13:19:16.579552,T001,1号主变,normal,0,106.3,35.8,15.1,51.1,2.7,399.6,2688.3,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-26T13:19:16.579552,T001,1号主变,normal,0,95.2,28.9,9.8,13.9,0.4,350.8,2494.5,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-06-27T13:19:16.579552,T001,1号主变,normal,0,56.0,11.5,5.1,27.8,3.1,238.6,5320.8,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-28T13:19:16.579552,T001,1号主变,normal,0,105.4,36.1,24.9,44.9,1.3,374.3,4084.4,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-06-29T13:19:16.579552,T001,1号主变,normal,0,85.6,31.6,30.0,27.0,1.7,354.1,2814.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-06-30T13:19:16.579552,T001,1号主变,normal,0,99.7,14.4,29.0,45.8,1.8,327.8,4052.6,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-01T13:19:16.579552,T001,1号主变,normal,0,58.4,22.0,20.6,17.9,0.8,500.1,3842.3,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-02T13:19:16.579552,T001,1号主变,normal,0,102.1,13.1,25.4,32.1,1.5,243.0,4948.6,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-03T13:19:16.579552,T001,1号主变,normal,0,103.7,30.9,13.4,28.6,0.3,267.2,2736.5,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-04T13:19:16.579552,T001,1号主变,normal,0,79.3,34.6,19.6,24.2,1.7,372.9,3911.6,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-05T13:19:16.579552,T001,1号主变,normal,0,57.3,19.0,5.9,33.0,0.2,464.4,2945.0,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-06T13:19:16.579552,T001,1号主变,normal,0,96.9,15.2,21.2,13.2,1.1,217.1,3500.1,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-07T13:19:16.579552,T001,1号主变,normal,0,62.7,19.5,9.6,12.5,3.0,236.4,4034.2,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-08T13:19:16.579552,T001,1号主变,normal,0,71.6,19.6,29.0,15.4,1.6,325.5,3987.9,40,20,28.8,34.1,10,900.5,0.027,16500.7
2025-07-09T13:19:16.579552,T001,1号主变,normal,0,45.3,26.6,27.8,49.1,1.0,353.0,2489.9,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-10T13:19:16.579552,T001,1号主变,normal,0,71.6,17.8,21.4,39.9,0.1,289.5,4351.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-11T13:19:16.579552,T001,1号主变,normal,0,94.8,31.1,17.8,40.6,2.4,302.8,2967.7,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-12T13:19:16.579552,T001,1号主变,normal,0,87.4,39.7,6.2,42.2,1.1,255.1,2365.8,85,25,64.7,82.5,10,418.4,0.159,14.0
2025-07-13T13:19:16.579552,T001,1号主变,normal,0,95.7,10.8,16.5,30.6,0.6,247.0,4691.6,95,38,87.6,108.8,10,200.0,0.277,0.0
2025-07-14T13:19:16.579552,T001,1号主变,normal,0,90.5,34.6,13.5,43.3,1.0,251.6,3898.1,95,38,87.6,108.8,10,200.0,0.277,0.0
