timestamp,device_id,device_name,fault_type,severity,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,load_percent,ambient_temp,oil_temp,hotspot_temp,device_age,current_dp,aging_rate,remaining_life_years
2025-05-18T13:19:16.564320,T002,2号主变,normal,0,65.7,31.0,28.7,20.5,1.0,246.2,3579.7,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-19T13:19:16.564320,T002,2号主变,normal,0,76.4,24.9,20.7,45.1,1.1,531.0,4500.3,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-20T13:19:16.564320,T002,2号主变,normal,0,117.4,25.8,29.1,21.4,1.8,411.0,2434.9,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-21T13:19:16.564320,T002,2号主变,normal,0,114.3,36.3,19.4,45.5,1.6,446.4,3724.9,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-22T13:19:16.564320,T002,2号主变,normal,0,99.0,12.2,7.0,35.2,2.8,412.4,3169.4,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-23T13:19:16.564320,T002,2号主变,normal,0,86.5,15.8,15.3,20.7,0.2,331.8,2408.5,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-24T13:19:16.564320,T002,2号主变,normal,0,69.1,37.9,22.1,13.3,1.7,212.0,3733.7,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-25T13:19:16.564320,T002,2号主变,normal,0,112.5,10.2,25.6,35.6,0.7,378.8,2676.8,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-26T13:19:16.564320,T002,2号主变,normal,0,56.2,17.5,23.9,49.9,1.5,312.8,1978.2,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-27T13:19:16.564320,T002,2号主变,normal,0,106.3,35.4,16.8,36.7,0.9,406.9,2481.4,85,25,64.7,82.5,5,757.7,0.133,35.7
2025-05-28T13:19:16.564320,T002,2号主变,normal,0,75.7,31.7,23.7,22.4,1.2,285.8,2675.7,85,25,64.7,82.5,5,757.7,0.133,35.7
